AppNexus ID;Lotame ID;Audience Name
1460636;15834;Offline Brand Purchasers - Liquid-Plumr
1460637;15890;Offline Brand Purchasers - Listerine
1460638;13443;Offline Brand Purchasers - M&M
1460639;13483;Offline Brand Purchasers - Marie Callender's
1460640;13493;Offline Brand Purchasers - Mars
1460641;15259;Offline Brand Purchasers - Maxwell House
1460642;15840;Offline Brand Purchasers - Mennen
1460645;15821;Offline Brand Purchasers - Mentadent
1460646;16064;Offline Brand Purchasers - Metamucil
1460647;15837;Offline Brand Purchasers - Minute Maid
1460648;15260;Offline Brand Purchasers - Mott's
1460650;13453;Offline Brand Purchasers - Mountain Dew
1460651;16065;Offline Brand Purchasers - Mr. Clean
1460652;13491;Offline Brand Purchasers - Mrs. Smith's
1460653;15841;Offline Brand Purchasers - Murphy Oil Soap
1460657;13433;Offline Brand Purchasers - Nabisco
1460662;15823;Offline Brand Purchasers - Nair
1460667;15920;Offline Brand Purchasers - Nescafe
1460673;15921;Offline Brand Purchasers - Nestea
1460674;13439;Offline Brand Purchasers - Nestle
1460675;15891;Offline Brand Purchasers - Neutrogena
1460679;16149;Offline Brand Purchasers - Off!
1460681;16066;Offline Brand Purchasers - Olay
1460683;13471;Offline Brand Purchasers - Old El Paso
1460684;16067;Offline Brand Purchasers - Old Spice
1460686;16068;Offline Brand Purchasers - Oral-B
1460690;13465;Offline Brand Purchasers - Orville Redenbacher's
1460692;15262;Offline Brand Purchasers - Oscar Mayer
1460697;16153;Offline Brand Purchasers - Oust
1460699;15824;Offline Brand Purchasers - Oxi Clean
1460701;15815;Offline Brand Purchasers - Pace
1460704;15842;Offline Brand Purchasers - Palmolive
1460705;15859;Offline Brand Purchasers - Pam
1460708;16069;Offline Brand Purchasers - Pampers
1460710;16079;Offline Brand Purchasers - Pantene
1460717;13480;Offline Brand Purchasers - Pedigree
1460719;15816;Offline Brand Purchasers - Pepperidge Farm
1460720;13181;Offline Brand Purchasers - Pepsi
1460722;16080;Offline Brand Purchasers - Pepto-Bismol
1460724;15860;Offline Brand Purchasers - Peter Pan
1460725;13444;Offline Brand Purchasers - Pillsbury
1460756;15835;Offline Brand Purchasers - Pine-Sol
1460757;13462;Offline Brand Purchasers - Planters
1460758;16155;Offline Brand Purchasers - Pledge
1460762;13474;Offline Brand Purchasers - Poland Spring
1460763;16310;Offline Brand Purchasers - Pond's
1460765;16311;Offline Brand Purchasers - Popsicle
1460769;13460;Offline Brand Purchasers - Post
1460776;13470;Offline Brand Purchasers - Powerade
1460778;15817;Offline Brand Purchasers - Prego
1460781;16081;Offline Brand Purchasers - Prilosec
1460782;13464;Offline Brand Purchasers - Pringles
1460784;13454;Offline Brand Purchasers - Progresso
1460787;13482;Offline Brand Purchasers - Propel
1460800;16134;Offline Brand Purchasers - Propel Ss
1460803;16082;Offline Brand Purchasers - Puffs
1460804;16098;Offline Brand Purchasers - Pur
1460807;13452;Offline Brand Purchasers - Purina
1460808;13184;Offline Brand Purchasers - Quaker
1460809;16312;Offline Brand Purchasers - Ragu
