AppNexus ID;Account Category Id;Parent account category ID;Main category;Sub category;Subsub category
153882;6941;4960;Personal Finance; Credit and Loans;Home
867626;18399;3992;Personal Finance; Insurance
867629;18400;18399;Personal Finance; Insurance;Health Insurance
1028283;19309;18399;Personal Finance; Insurance;Life Insurance
210817;5540;3992;Personal Finance; Investing
84871;5541;5540;Personal Finance; Investing;ETFs
132413;6766;5540;Personal Finance; Investing;Forex
86329;5580;5540;Personal Finance; Investing;Retirement Planning
119371;6523;5540;Personal Finance; Investing;Stocks
80911;5340;3992;Personal Finance; Taxes
46862;3976;;Pets
46912;4380;;RealEstate
405585;14473;4380;RealEstate;Commercial
486895;15834;4380;RealEstate;Rental
486925;15835;4380;RealEstate;Residential
405586;14474;4380;RealEstate;Sales
52647;3962;;Recreation and Games
46850;3963;3962;Recreation and Games;Gambling
101234;6121;3962;Recreation and Games;Hobbies and Interests
46852;3965;3962;Recreation and Games;Outdoor Recreation
46886;4001;;Relationships
46924;4040;4001;Relationships;Singles and Dating
209350;10306;4001;Relationships;Weddings
46863;3977;;Sciences
1611611;10290;;Seasonal
1082688;20030;10290;Seasonal;3 Kings
382049;13937;10290;Seasonal;Back to School
475347;15790;10290;Seasonal;BlackFriday CyberMonday
216099;10373;10290;Seasonal;Christmas
639134;17012;10290;Seasonal;Easter
329131;12992;10290;Seasonal;Fathers Day
1456626;21365;10290;Seasonal;French Open
431571;14797;10290;Seasonal;Halloween
1611738;22322;10290;Seasonal;Jewish Holidays
1516762;21884;10290;Seasonal;March Madness
292356;12837;10290;Seasonal;Mothers Day
486928;15836;10290;Seasonal;New Years
948838;18905;10290;Seasonal;Sailing Events
218474;10425;10290;Seasonal;Super Bowl
202334;10291;10290;Seasonal;Thanksgiving
220065;10471;10290;Seasonal;Valentines Day
1422554;21182;10290;Seasonal;Wimbledon
1173962;20445;10290;Seasonal;Winter Olympics
1422555;21191;10290;Seasonal;World Cup
46930;4207;;Shopping
162039;7069;4207;Shopping;Coupons
52649;4383;;Society
81588;5364;4383;Society;Holidays and Celebrations
116410;6521;4383;Society;Law and Ethics
101232;6119;4383;Society;Religion and Spirituality
46851;3964;;Sports
46855;3969;3964;Sports;Baseball
46856;3970;3964;Sports;Basketball
46857;3971;3964;Sports;Boxing
338592;13399;3964;Sports;Cricket
1579219;22221;3964;Sports;Cycling
46846;3960;3964;Sports;Football
46858;3972;3964;Sports;Golf
46847;3961;3964;Sports;Hockey
46861;3975;3964;Sports;HorseRacing
52653;4560;3964;Sports;Motorsports
290106;12817;3964;Sports;Olympics
46860;3974;3964;Sports;Soccer
436256;15043;3964;Sports;Surfing
46859;3973;3964;Sports;Tennis
46868;3982;3964;Sports;WinterSports
101233;6120;3982;Sports;WinterSports;Skiing
46870;3984;;Style and Fashion
52655;4561;3984;Style and Fashion;BodyArt
46871;3985;3984;Style and Fashion;Clothing and Accessories
46910;4025;3984;Style and Fashion;Cosmetics
46872;3986;3984;Style and Fashion;HairCare
46873;3987;3984;Style and Fashion;SkinCare
46879;3994;;Technology
177710;9408;3994;Technology;Apple
1473387;21665;3994;Technology;Cloud Computing
46916;4032;3994;Technology;Computers
46887;4002;4032;Technology;Computers;Hardware
46925;4041;4032;Technology;Computers;Software
1435869;21276;4041;Technology;Enterprise Computing
1320019;20752;4041;Technology;Green Tech
46888;4003;4041;Technology;HomeEntertainment
46926;4042;4041;Technology;Mobile
46927;4043;4041;Technology;Video Games
1182670;20489;4041;Technology;Web and Graphic Design
46853;3966;;Travel
46854;3967;3966;Travel;Air
1353694;20842;3966;Travel;Car Rental
52639;4968;3966;Travel;Cruise
356640;13437;3966;Travel;Destinations
913425;18494;13437;Travel;Destinations;Europe
356641;13438;13437;Travel;Destinations;Florida
399917;14437;13437;Travel;Destinations;Hawaii
559661;16539;13437;Travel;Destinations;Las Vegas
486931;15838;13437;Travel;Destinations;Southern California
1237395;20681;3966;Travel;Hotels and Accommodation
81589;5382;3966;Travel;Theme
114457;6500;5382;Travel;Theme;Adventure
106472;6200;5382;Travel;Theme;Beach
991199;19222;5382;Travel;Theme;Family Travel
81590;5383;5382;Travel;Theme;Winter
649179;17056;3966;Travel;Theme Parks
