Category;Category name;AppNexus;AppNexus Category
IAB9;Hobbies & Interests;Lifestyles;18
IAB9-1;Art/Technology;Visual Art & Design (Arts & Entertainment);8014
IAB9-2;Arts & Crafts;Women's Interests (Lifestyles);8408
IAB9-3;Beadwork;Crafts (Lifestyles);8260
IAB9-4;Birdwatching;Seniors & Retirement (Lifestyles);8400
IAB9-5;Board Games/Puzzles;Board Games (Games);8196
IAB9-6;Candle & Soap Making;Crafts (Lifestyles);8260
IAB9-7;Card Games;Card Games (Games);8198
IAB9-8;Chess;Table Games (Games);8214
IAB9-9;Cigars;Tobacco Products (Shopping);8516
IAB9-10;Collecting;Subcultures & Niche Interests (Lifestyles);8406
IAB9-11;Comic Books;Subcultures & Niche Interests (Lifestyles);8406
IAB9-12;Drawing/Sketching;Visual Art & Design (Arts & Entertainment);8014
IAB9-13;Freelance Writing;Writers Resources (Books & Literature);8088
IAB9-14;Genealogy;Genealogy (Lifestyles);8392
IAB9-15;Getting Published;Writers Resources (Books & Literature);8088
IAB9-16;Guitar;Music (Arts & Entertainment);8004
IAB9-17;Home Recording;Music (Arts & Entertainment);8004
IAB9-18;Investors & Patents;Intellectual Property (Business & Industry);8108
IAB9-19;Jewelry Making;Crafts (Lifestyles);8260
IAB9-20;Magic & Illusion;Subcultures & Niche Interests (Lifestyles);8406
IAB9-21;Needlework;Crafts (Lifestyles);8260
IAB9-22;Painting;Visual Art & Design (Arts & Entertainment);8014
IAB9-23;Photography;Visual Art & Design (Arts & Entertainment);8014
IAB9-24;Radio;Radio (Arts & Entertainment);8010
IAB9-25;Roleplaying Games;Roleplaying Games (Games);8212
IAB9-26;Sci-Fi & Fantasy;Offbeat (Arts & Entertainment);8006
IAB9-27;Scrapbooking;Crafts (Lifestyles);8260
IAB9-28;Screenwriting;Writers Resources (Books & Literature);8088
IAB9-29;Stamps & Coins;Subcultures & Niche Interests (Lifestyles);8406
IAB9-30;Video & Computer Games;Computer & Video Games (Games);8202
IAB9-31;Woodworking;Subcultures & Niche Interests (Lifestyles);8406
IAB10;Home & Garden;Home & Garden;15
IAB10-1;Appliances;Home Appliances (Home & Garden);8280
IAB10-2;Entertaining;Kitchen & Dining (Home & Garden);8288
IAB10-3;Environmental Safety;Gardening & Landscaping (Home & Garden);8278
IAB10-4;Gardening;Gardening & Landscaping (Home & Garden);8278
IAB10-5;Home Repair;Home Improvement (Home & Garden);8284
IAB10-6;Home Theater;Home Theater, TV (Computers & Electronics);8146
IAB10-7;Interior Decorating;Bed & Bath (Home & Garden);8274
IAB10-8;Landscaping;Gardening & Landscaping (Home & Garden);8278
IAB10-9;Remodeling & Construction;Home Improvement (Home & Garden);8284
IAB11;Law, Gov't & Politics;Law & Government;7988
IAB11-1;Immigration;Legal (Law & Government);8340
IAB11-2;Legal Issues;Legal (Law & Government);8340
IAB11-3;U.S. Government Resources;Law & Government;7988
IAB11-4;Politics;Politics (News);8360
IAB11-5;Commentary;Law & Government;7988
IAB12;News;News;20
IAB12-1;International News;World News (News);8368
IAB12-2;National News;Broadcast & Network News (News);8348
IAB12-3;Local News;News;20
IAB13;Personal Finance;Finance;11
IAB13-1;Beginning Investing;Investing (Finance);8170
IAB13-2;Credit/Debt & Loans;Credit & Lending (Finance);8160
IAB13-3;Financial News;Business News (News);8350
IAB13-4;Financial Planning;Financial Planning (Finance);8164
IAB13-5;Hedge Fund;Investing (Finance);8170
IAB13-6;Insurance;Insurance (Finance);8168
IAB13-7;Investing;Investing (Finance);8170
IAB13-8;Mutual Funds;Investing (Finance);8170
IAB13-9;Options;Investing (Finance);8170
IAB13-10;Retirement Planning;Retirement & Pension (Finance);8174
IAB13-11;Stocks;Investing (Finance);8170
IAB13-12;Tax Planning;Taxes (Finance);8176
IAB14;Society;Social Sciences (Lifestyles);8404
;;Online Communities;21
IAB14-1;Dating;Dating & Personals (Online Communities);8372
IAB14-2;Divorce Support;Family & Relationships (Lifestyles);8390
IAB14-3;Gay Life;Family & Relationships (Lifestyles);8390
IAB14-4;Marriage;Family & Relationships (Lifestyles);8390
IAB14-5;Senior Living;Seniors & Retirement (Lifestyles);8400
IAB14-6;Teens;Kids & Teens (Lifestyles);8394
IAB14-7;Weddings;;#N/A
IAB14-8;Ethnic Specific;Ethnic & Identity Groups (Lifestyles);8388
IAB15;Science;Science;26
IAB15-1;Astrology;Offbeat (Arts & Entertainment);8006
IAB15-2;Biology;Biological Sciences (Science);8448
IAB15-3;Chemistry;Chemistry (Science);8450
IAB15-4;Geology;Earth Sciences (Science);8454
IAB15-5;Paranormal Phenomena;Religion & Belief (Lifestyles);8398
IAB15-6;Physics;Physics (Science);8464
IAB15-7;Space/Astronomy;Space Science (Science);8468
IAB15-8;Geography;;#N/A
IAB15-9;Botany;Gardening & Landscaping (Home & Garden);8278
IAB15-10;Weather;Weather (News);8366
IAB16;Pets;Pets & Animals;4
IAB16-1;Aquariums;Animal Products & Services (Pets & Animals);8410
IAB16-2;Birds;Pets (Pets & Animals);8412
IAB16-3;Cats;Pets (Pets & Animals);8412
IAB16-4;Dogs;Pets (Pets & Animals);8412
IAB16-5;Large Animals;Pets (Pets & Animals);8412
IAB16-6;Reptiles;Pets (Pets & Animals);8412
IAB16-7;Veterinary Medicine;Animal Products & Services (Pets & Animals);8410
IAB17;Sports;Sports;29
IAB17-1;Auto Racing;Motor Sports (Sports);8552
IAB17-2;Baseball;Baseball (Sports);8524
IAB17-3;Bicycling;Cycling (Sports);8538
IAB17-4;Bodybuilding;Strength Sports (Sports);8566
IAB17-5;Boxing;Boxing (Sports);8532
IAB17-6;Canoeing/Kayaking;Outdoors (Sports);8558
IAB17-7;Cheerleading;Strength Sports (Sports);8566
IAB17-8;Climbing;Extreme Sports (Sports);8542
IAB17-9;Cricket;Cricket (Sports);8536
IAB17-10;Figure Skating;Winter Sports (Sports);8574
IAB17-11;Fly Fishing;Outdoors (Sports);8558
IAB17-12;Football;Football (Sports);8544
IAB17-13;Freshwater Fishing;Outdoors (Sports);8558
IAB17-14;Game & Fish;Outdoors (Sports);8558
IAB17-15;Golf;Golf (Sports);8546
IAB17-16;Horse Racing;Equestrian (Sports);8540
IAB17-17;Horses;Equestrian (Sports);8540
IAB17-18;Hunting/Shooting;Precision Sports (Sports);8560
IAB17-19;Inline Skating;Extreme Sports (Sports);8542
IAB17-20;Martial Arts;Martial Arts (Sports);8550
IAB17-21;Mountain Biking;Extreme Sports (Sports);8542
IAB17-22;NASCAR Racing;Motor Sports (Sports);8552
